x,y
-256.8699240586134,176.27043258103825
-256.8699240586134,176.27043258103825
-256.8699240586134,176.27043258103825
-256.8699240586134,176.27043258103825
-256.8699240586134,176.27043258103825
-256.8699240586134,176.27043258103825
-256.8699240586134,176.27043258103825
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8699240586134,176.27043258103825
-256.8699240586134,176.27043258103825
-256.8666151825469,176.26816194924777
-256.8699240586134,176.27043258103825
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8699240586134,176.27043258103825
-256.8699240586134,176.27043258103825
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8699240586134,176.27043258103825
-256.8666151825469,176.26816194924777
-256.8699240586134,176.27043258103825
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.54754153126,176.49945951894867
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8699240586134,176.92571299955512
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8699240586134,176.27043258103825
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8666151825469,176.26816194924777
-256.8666151825469,175.61288997174125
-256.8666151825469,175.61288997174125
-256.55085497594786,175.84559880704353
-256.54754153126,175.84332769917563
-255.89140971148692,175.18719587940257
-256.2113432050404,174.95761799423477
-256.8666151825469,174.95761799423477
-256.8666151825469,174.30234601672828
-256.2146436400965,174.95987174400452
-256.2113432050404,173.64707403922176
-256.2146436400965,174.30459132548762
-256.2146436400965,173.64931090697075
-256.8699240586134,173.64931090697075
-256.8666151825469,172.99180206171528
-256.8666151825469,172.99180206171528
-256.8699240586134,172.33875006993702
-256.8699240586134,172.33875006993702
-256.2146436400965,171.68346965142015
-256.2146436400965,171.68346965142015
-256.2146436400965,171.0281892329033
-255.55936322157962,170.37290881438642
-254.90408280306275,170.37290881438642
-254.24880238454588,169.71762839586953
-253.593521966029,169.06234797735266
-252.93824154751212,168.4070675588358
-252.93824154751212,167.75178714031892
-252.28296112899525,167.75178714031892
-252.28296112899525,167.09650672180206
-252.28296112899525,166.4412263032852
-251.6276807104784,165.78594588476832
-251.6276807104784,165.13066546625143
-250.97240029196152,165.13066546625143
-250.97240029196152,164.47538504773456
-250.31711987344465,163.8201046292177
-249.6618394549278,163.16482421070083
-249.0065590364109,162.50954379218396
-249.0065590364109,162.50954379218396
-248.35127861789402,161.19898295515023
-248.35127861789402,161.19898295515023
-247.69599819937716,160.54370253663333
-246.38543736234342,159.88842211811647
-247.0407177808603,159.2331416995996
-244.4195961067928,158.57786128108273
-244.4195961067928,157.92258086256587
-242.4537548512422,157.267300444049
-239.8326331771747,155.95673960701524
-237.21151150310723,155.30145918849837
-232.62454857348914,153.99089835146464
-229.34814648090477,152.6803375144309
-226.7270248068373,152.02505709591404
-227.38230522535417,152.02505709591404
-227.38230522535417,152.02505709591404
-226.7270248068373,150.71449625888027
-224.1059031327698,149.40393542184654
-221.48478145870234,148.74865500332967
-220.82950104018545,148.0933745848128
-220.82950104018545,148.0933745848128
-218.20837936611798,145.4722529107453
-214.93197727353362,144.81697249222844
-212.96613601798302,143.5064116551947
-212.31085559946615,143.5064116551947
-211.65557518094926,142.85113123667784
-209.0344535068818,140.88528998112722
-205.10277099578056,138.91944872557661
-201.8263689031962,137.60888788854288
-198.54996681061186,135.64304663299225
-196.58412555506123,134.98776621447539
-195.92884513654437,134.33248579595852
-195.92884513654437,133.67720537744165
-195.2735647180275,133.02192495892479
-195.2735647180275,133.02192495892479
-193.96300388099377,133.02192495892479
-191.99716262544314,131.05608370337416
-188.72076053285878,129.09024244782356
-184.78907802175758,127.77968161078981
-182.16795634769008,125.8138403552392
-180.20211509213948,124.50327951820545
-178.89155425510572,123.84799909968858
-177.58099341807198,122.53743826265485
-176.92571299955512,121.88215784413796
-176.27043258103825,121.88215784413796
-176.27043258103825,121.2268774256211
-174.95987174400452,120.57159700710423
-173.64931090697075,118.60575575155362
-171.68346965142015,117.29519491451987
-169.71762839586953,115.32935365896927
-168.4070675588358,114.67407324045239
-168.4070675588358,114.67407324045239
-168.4070675588358,114.67407324045239
-168.4070675588358,114.67407324045239
-168.4070675588358,114.67407324045239
-168.4070675588358,114.67407324045239
-168.4070675588358,114.67407324045239
-168.4070675588358,114.67407324045239
-167.75178714031892,113.36351240341865
-165.78594588476832,111.39767114786804
-164.47538504773456,110.74239072935117
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-164.47538504773456,110.08711031083429
-163.8201046292177,108.77654947380056
-163.16482421070083,108.12126905528368
-162.50954379218396,108.12126905528368
-162.50954379218396,107.46598863676681
-161.8542633736671,107.46598863676681
-161.8542633736671,107.46598863676681
-161.8542633736671,107.46598863676681
-161.8542633736671,106.81070821824994
-161.8542633736671,106.15542779973308
-160.54370253663333,105.5001473812162
-159.88842211811647,104.84486696269933
-159.88842211811647,104.84486696269933
-159.88842211811647,104.84486696269933
-159.88842211811647,104.84486696269933
-159.88842211811647,104.84486696269933
-159.88842211811647,104.84486696269933
-159.88842211811647,104.84486696269933
-159.88842211811647,104.84486696269933
-159.88842211811647,104.84486696269933
-159.88842211811647,104.84486696269933
-159.88842211811647,104.84486696269933
-159.2331416995996,104.18958654418246
-159.2331416995996,103.53430612566558
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,102.22374528863185
-157.92258086256587,101.56846487011498
-157.92258086256587,101.56846487011498
-157.267300444049,101.56846487011498
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-157.267300444049,100.9131844515981
-156.61202002553213,100.25790403308123
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
-156.61202002553213,99.60262361456437
